GROWP,SUBGROUP,CLASS,PROGRAM,NAME,DATA
1,0,0,0,ԸՆԴՀԱՆՈՒՐ ԲՆՈՒՅԹԻ ՀԱՆՐԱՅԻՆ ԾԱՌԱՅՈՒԹՅՈՒՆՆԵՐ,2016
1,1,0,0,"Օրենսդիր եւ գործադիր  մարմիններ, պետական կառավարում, ֆինանսական եւ հարկաբյուջետային հարաբերություններ, արտաքին հարաբերություններ",2016
1,1,1,0,"Օրենսդիր եւ  գործադիր մարմիններ, պետական կառավարում",2016
1,1,1,1,ՀՀ Ազգային ժողովի աշխատակազմի եւ պատգամավորների պահպանում,2016
1,1,1,2,ՀՀ Վերահսկիչ պալատի պահպանում,2016
1,1,1,3,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2016
1,1,1,4,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների պահպանում (նախարարների աշխատակազմերի մասով)",2016
1,1,1,5,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների պահպանում (նախարարությունների աշխատակազմերի  մասով)",2016
1,1,1,6,Վարչական օբյեկտների շինարարություն,2016
1,1,1,7,Վարչական օբյեկտների հիմնանորոգում,2016
1,1,1,8,Հայաստանի Հանրապետության համայնքային բյուջեներին  սուբվենցիաների տրամադրում,2016
1,1,1,9,ՀՀ վերահսկիչ պալատի պահուստային ֆոնդ,2016
1,1,1,10,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  կարողությունների զարգացում",2016
1,1,1,11,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների կարողությունների զարգացում (նախարարությունների աշխատակազմերի  մասով)",2016
1,1,1,12,"Հայաստանի Հանրապետության կառավարության գործունեության գնահատականների, կյանքի որակի եւ համայնքային կարիքների գնահատման հետազոտություններ",2016
1,1,1,13,Նախարարության «Ծրագրերի իրականացման գրասենյակ» պետական հիմնարկի պահպանում,2016
1,1,1,14,ՀՀ կառավարության աշխատակազմի «Օրենսդրության կարգավորման ազգային կենտրոն» ծրագրերի իրականացման գրասենյակի պահպանում,2016
1,1,1,15,ՀՀ արդարադատության նախարարության  «Անձնական տվյալների պաշտպանության գործակալության»  պահպանում,2016
1,1,1,16,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների պահպանում արտաբյուջետային միջոցների հաշվին",2016
1,1,1,17,«Օժանդակություն Հայաստանի հակակոռուպցիոն ռազմավարության իրականացմանը» դրամաշնորհային ծրագիր,2016
1,1,1,18,«Հայաստանի Հանրապետության արդարադատության նախարարության եւ ԱՄՆ ՄԶԳ-ի միջեւ 2016թվականի սեպտեմբերի 13-ին կնքված N AAG-111-G-13-001 Զարգացման համագործակցության համաձայնագրի ներքո իրականացվող» դրամաշնորհային ծրագիր,2016
1,1,1,40,«Ավստրիայի զարգացման գործակալություն» ընկերության աջակցությամբ իրականացվող «Հայաստանի Հանրապետությունում կարգավորիչ գիլյոտին» դրամաշնորհային ծրագիր,2016
1,1,2,0,Ֆինանսական եւ հարկաբյուջետային հարաբերություններ,2016
1,1,2,1,ՀՀ պետական պարտքի կառավարման գործընթացի հրապարակայնության ապահովում,2016
1,1,2,2,Ակցիզային դրոշմանիշների ձեռքբերում,2016
1,1,2,3,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների պահպանում (նախարարությունների աշխատակազմերի  մասով)",2016
1,1,2,4,Ֆինանսական կառավարման  համակարգի վճարահաշվարկային ծախսեր,2016
1,1,2,5,Ավելացված արժեքի հարկի վերադարձ,2016
1,1,2,6,Էլեկտրոնային գնումների համակարգի ներդրման գծով պետական պատվեր,2016
1,1,2,7,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների կարողությունների զարգացում (նախարարությունների աշխատակազմերի  մասով)",2016
1,1,2,8,Դրոշմապիտակների ձեռքբերման ծախսեր,2016
1,1,2,9,Բլումբերգ եւ Ռոյթերս տեղեկատվական համակարգերի առեւտրային տերմինալների տեղադրման եւ սպասարկման վճար,2016
1,1,2,10,Հարկային ծառայության մարմնի համակարգի եվ մաքսային ծառայության նյութական խրախուսման եւ համակարգի զարգացման ֆոնդ,2016
1,1,2,11,"Եվրոպական ներդրումային բանկի աջակցությամբ իրականացվող ՀՀ պետական սահմանի «Բագրատաշեն», «Բավրա» եւ «Գոգովան» անցման կետերի արդիականացման ծրագիր",2016
1,1,2,12,Չինական Արտահանման-ներմուծման բանկի աջակցությամբ իրականացվող ՀՀ մաքսային զննման տեխնոլոգիաների եվ սարքավորումների արդիականացման ծրագիր,2016
1,1,2,13,ՌԴ-ի կառավարության աջակցությամբ իրականացվող ԵՏՄ-ի անդամակցության շրջանակներում ՀՀ-ին տեխնիկական եւ ֆինանսական  աջակցություն ցուցաբերելու դրամաշնորհային ծրագիր,2016
1,1,2,14,"Եվրոպական միության աջակցությամբ իրականացվող ՀՀ պետական սահմանի «Բագրատաշեն», «Բավրա» եւ «Գոգավան» անցման կետերի արդիականացման դրամաշնորհային ծրագիր",2016
1,1,2,40,"Եվրոպական միության Հարեւանության ներդրումային ծրագրի աջակցությամբ իրականացվող ՀՀ պետական սահմանի «Բագրատաշեն», «Բավրա» եւ «Գոգավան» անցման կետերի արդիականացման դրամաշնորհային ծրագիր",2016
1,1,3,0,Արտաքին հարաբերություններ,2016
1,1,3,1,ՀՀ դեսպանությունների եւ ներկայացուցչությունների պահպանում,2016
1,1,3,2,Միջազգային կազմակերպություններին Հայաստանի Հանրապետության անդամակցության վճարներ,2016
1,1,3,3,Արտասահմանյան պատվիրակությունների ընդունելություններ,2016
1,1,3,4,Արտասահմանյան պաշտոնական գործուղումներ,2016
1,1,3,5,ՀՀ արտաքին գործերի նախարարության աշխատակազմի «Պետական արարողակարգի ծառայություն» գործակալության պահպանում,2016
1,1,3,6,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների պահպանում (նախարարությունների աշխատակազմերի  մասով)",2016
1,1,3,7,Դեսպանությունների շենքերի գնում,2016
1,1,3,8,Հայաստանի Հանրապետությանը սուվերեն վարկանիշ շնորհելու կապակցությամբ կազմակերպությունների կողմից մատուցված ծառայությունների դիմաց վճարման ծախսեր,2016
1,1,3,9,ՆԱՏO-ի նոր կենտրոնակայանի շենքի վերակառուցման աշխատանքների ծախսերի փոխհատուցման ՀՀ մասնաբաժին,2016
1,1,3,10,ՀՀ դեսպանություների եվ ներկայացուցչությունների պահպանում արտաբյուջետային միջոցների հաշվին,2016
1,2,0,0,Արտաքին տնտեսական օգնություն,2016
1,2,1,0,Արտաքին տնտեսական աջակցություն,2016
1,2,2,0,Միջազգային կազմակերպությունների միջոցով տրամադրվող տնտեսական օգնություն,2016
1,3,0,0,Ընդհանուր բնույթի ծառայություններ,2016
1,3,1,0,Աշխատակազմի /կադրերի/ գծով ընդհանուր բնույթի ծառայություններ,2016
1,3,1,1,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2016
1,3,1,2,Քաղաքացիական ծառայության կադրերի ռեզերվում գտնվող քաղաքացիական ծառայողների վարձատրության հետ կապված ծախսեր,2016
1,3,1,3,Քաղաքացիակական կացության ակտերի գրանցման ծառայության  գործունեության կազմակերպման բնագավառում պետության կողմից  համայնքի ղեկավարին  պատվիրակված լիազորությունների իրականացման ֆինանսավորում,2016
1,3,2,0,Ծրագրման եւ վիճակագրական ընդհանուր ծառայություններ,2016
1,3,2,1,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2016
1,3,2,2,Պետական վիճակագրական տեղեկատվության հավաքագրում,2016
1,3,2,3,Տեղեկատվական տեխնոլոգիաների ոլորտի խթանման ծառայություններ,2016
1,3,2,4,Գյումրու եւ Վանաձորի տեխնոլոգիական կենտրոնների գործունեության իրականացման ծրագիր,2016
1,3,2,5,ՀՀ պետական մարմիններին լիցենզիոն ծրագրային փաթեթներով ապահովում,2016
1,3,2,6,2015թվականի Հայաստանի ժողովրդագրության եւ առողջության հարցերի հետազոտություն,2016
1,3,3,0,Ընդհանուր բնույթի այլ ծառայություններ,2016
1,3,3,1,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2016
1,3,3,2,ՀՀ Գեղարքունիքի մարզի Արծվաշեն համայնքի ղեկավարի աշխատակազմի պահպանում,2016
1,3,3,3,Պետական աջակցություն «Գնումների աջակցման կենտրոն» ՊՈԱԿ-ին,2016
1,3,3,4,Պետական աջակցություն «Սպասարկում» ՊՈԱԿ-ին,2016
1,4,0,0,Ընդհանուր բնույթի հետազոտական աշխատանք,2016
1,4,1,0,Ընդհանուր բնույթի հետազոտական աշխատանք,2016
1,4,1,1,Գիտաշխատողներին գիտական աստիճանների համար տրվող հավելավճարներ,2016
1,4,1,2,Գիտական եւ գիտատեխնիկական գործունեության հիմնարար եւ կարեւորագույն նշանակություն ունեցող կիրառական հետազոտություններ,2016
1,4,1,3,Գիտական եւ գիտատեխնիկական գործունեության ենթակառուցվածքների պահպանում ու զարգացում,2016
1,4,1,4,«Ա. Ալիխանյանի անվան ազգային գիտական լաբորատորիա» հիմնադրամի  գիտական եւ գիտատեխնիկական գործունեության ենթակառուցվածքի պահպանում ու զարգացում եւ գիտական ներուժի արդիականացում,2016
1,4,1,5,Ազգային արժեք ներկայացնող գիտական օբյեկտների պահպանություն,2016
1,4,1,6,«ՔԵՆԴԼ» սինքրոտրոնային հետազոտությունների ինստիտուտ» հիմնադրամին պետական աջակցություն,2016
1,5,0,0,Ընդհանուր բնույթի հանրային ծառայությունների գծով հետազոտական եւ նախագծային աշխատանքներ,2016
1,5,1,0,Ընդհանուր բնույթի հանրային ծառայությունների գծով հետազոտական եւ նախագծային աշխատանքներ,2016
1,5,1,1,Գիտական եւ գիտատեխնիկական գործունեության պայմանագրային (թեմատիկ) հետազոտություններ,2016
1,5,1,2,Գիտական եւ գիտատեխնիկական նպատակային-ծրագրային հետազոտություններ,2016
1,6,0,0,Ընդհանուր բնույթի հանրային ծառայություններ (այլ դասերին չպատկանող),2016
1,6,1,0,Ընդհանուր բնույթի հանրային ծառայություններ (այլ դասերին չպատկանող),2016
1,6,1,1,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2016
1,6,1,2,ՀՀ  տեղական ինքնակառավարման մարմինների ընտրություններ,2016
1,6,1,3,Փորձաքննությունների  ծառայություններ,2016
1,6,1,4,Աճուրդների կազմակերպման եւ անցկացման աշխատանքներ,2016
1,6,1,5,Համաշխարհային բանկի աջակցությամբ իրականացվող Պետական հատվածի  բարեփոխումների երկրորդ ծրագիր,2016
1,6,1,6,"Պետական գույքի հաշվառման, գույքագրման, ուսումնասիրությունների եւ գնահատման աշխատանքների իրականացում",2016
1,6,1,7,Սեյսմիկ պաշտպանության ազգային ծառայություն,2016
1,6,1,8,ՀՀ կառավարությանն առընթեր անշարժ գույքի կադաստրի պետական կոմիտեի ստորաբաժանումների կողմից մատուցվող ծառայություններից ստացվող եկամուտների հաշվին կոմիտեի համակարգի պահպանում,2016
1,6,1,9,ԱՄՆ կառավարության աջակցությամբ իրականացվող «Հազարամյակի մարտահրավեր» դրամաշնորհային  ծրագիր,2016
1,6,1,10,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  կարողությունների զարգացում",2016
1,6,1,11,ՀՀ կառավարությանն առընթեր անշարժ գույքի կադաստրի պետական կոմիտեի ստորաբաժանումների կողմից մատուցվող ծառայություններից ստացվող եկամուտների հաշվին կոմիտեի համակարգի կարողությունների զարգացում,2016
1,6,1,12,Համաշխարհային բանկի աջակցությամբ իրականացվող Էլեկտրոնային հասարակության եւ մրցունակության համար նորարարության ծրագիր,2016
1,6,1,13,Համաշխարհային բանկի աջակցությամբ իրականացվող Հարկային վարչարարության արդիականացման ծրագիր,2016
1,6,1,14,Համաշխարհային բանկի աջակցությամբ իրականացվող հանրային հատվածի վերահսկողության (Վերահսկիչ պալատի) կարողությունների զարգացման դրամաշնորհային ծրագիր,2016
1,6,1,15,Համաշխարհային բանկի աջակցությամբ իրականացվող ՀՀ ֆինանսների նախարարության կարողությունների զարգացման դրամաշնորհային ծրագիր,2016
1,6,1,16,Համաշխարհային բանկի աջակցությամբ իրականացվող Հայաստանի կառավարության կարգավորող բարեփոխումների գրասենյակի կարողությունների զարգացման դրամաշնորհային ծրագիր,2016
1,6,1,17,Համաշխարհային բանկի աջակցությամբ իրականացվող Հայաստանի հանրային ֆինանսական կառավարման հզորացման դրամաշնորհային ծրագիր,2016
1,6,1,18,Համաշխարհային բանկի աջակցությամբ իրականացվող Կենսաթոշակների մասին հանրային իրազեկման եւ գրագիտության դրամաշնորհային ծրագիր,2016
1,6,1,19,Համաշխարհային բանկի աջակցությամբ իրականացվող քաղաքաշինական թույլտվությունների էլեկտրոնային մշակման եւ մեկ պատուհանից տրամադրման ծրագրի համար ԻԶՀ դրամաշնորհային ծրագիր,2016
1,6,1,20,Համաշխարհային բանկի աջակցությամբ  իրականացվող առեւտրի եւ ենթակառուցվածքների զարգացման ծրագիր,2016
1,6,1,21,Համաշխարհային բանկի աջակցությամբ իրականացվող երիտասարդների ներգրավվածության խթանման դրամաշնորհային ծրագրի,2016
1,6,1,22,Համաշխարհային բանկի աջակցությամբ իրականացվող Տեղական տնտեսության ենթակառուցվածքի զարգացման  դրամաշնորհային ծրագիր,2016
1,6,1,23,Հիմնարկներին եվ կազմակերպություններին ամրացված` յուրաքանչյուր միավոր մինչեվ 5 մլն դրամ գնահատված արժեքով շարժական գույքի օտարման գործընթացում գտնվելու ժամանակահատվածում գույքի պահառության կազմակերպում,2016
1,6,1,24,"Ընտրական վարչարարության փորձի ուսումնասիրում, ընտրական վարչարարության բարձրացում, կենտրոնական ընտրական հանձնաժողովի վերազինում եւ ընտրական օրենսդրությանը վերաբերող նյութերի հրատարակում",2016
1,6,1,40,Համաշխարհային բանկի աջակցությամբ իրականացվող պետական հատվածի արդիականացման երրորդ ծրագիր,2016
1,7,0,0,Պետական պարտքի գծով գործառնություններ,2016
1,7,1,0,Պետական պարտքի գծով գործառնություններ,2016
1,7,1,1,ՀՀ պետական արժեթղթերի (գանձապետական պարտատոմսերի) սպասարկում (տոկոսավճար),2016
1,7,1,2,"Օտարերկրյա պետություններից, միջազգային կազմակերպություններից եւ այլ արտաքին աղբյուրներից ստացված վարկերի սպասարկում  (տոկոսավճար)",2016
1,7,1,3,Մուրհակների սպասարկման ծախսեր (տոկոսավճարներ),2016
1,7,1,4,Արտարժութային պետական պարտատոմսերի սպասարկում (տոկոսավճարներ),2016
1,8,0,0,Կառավարության տարբեր մակարդակների միջեւ իրականացվող ընդհանուր բնույթի տրանսֆերտներ,2016
1,8,1,0,Կառավարության տարբեր մակարդակների միջեւ իրականացվող ընդհանուր բնույթի տրանսֆերտներ,2016
1,8,1,1,Համայնքների բյուջեներին ֆինանսական համահարթեցման սկզբունքով դոտացիաների տրամադրում եւ Ազգային Ժողովի ընդունած օրենքների կիրարկման արդյունքում համայնքների բյուջեների եկամուտների կորուստների փոխհատուցում,2016
1,8,1,2,Հայաստանի Հանրապետության համայնքային բյուջեներին  սուբվենցիաների տրամադրում,2016
1,8,1,3,Պետական աջակցություն տեղական ինքնակառավարման մարմիններին,2016
1,8,1,4,Պետական աջակցություն սահմանամերձ համայնքներին,2016
1,8,1,5,Էլեկտրաէներգիայի սակագնի բարձրացմամբ պայմանավորված Երեւան համայնքին սուբվենցիայի տրամադրում,2016
2,0,0,0,ՊԱՇՏՊԱՆՈՒԹՅՈՒՆ,2016
2,1,0,0,Ռազմական պաշտպանություն,2016
2,1,1,0,Ռազմական պաշտպանություն,2016
2,1,1,1,ՀՀ ռազմական կցորդների պահպանում,2016
2,1,1,2,Ռազմական կարիքների բավարարում,2016
2,1,1,3,ՀԱՊԿ-ում ՀՀ զինված ուժերի ներկայացուցչի պահպանում,2016
2,1,1,4,Եվրոպայում անվտանգության եւ համագործակցության կազմակերպությունում ՀՀ առաքելությունում ՀՀ ռազմական ներկայացուցչի պահպանում,2016
2,1,1,5,Ռազմական նշանակության համակարգերի պահպանում,2016
2,1,1,6,Ռուսաստանի Դաշնության  կողմից տրամադրված պետական արտահանման վարկի հաշվին ռուսական արտադրության ռազմական նշանակության արտադրանքի մատակարարումների ֆինանսավորում,2016
2,2,0,0,Քաղաքացիական պաշտպանություն,2016
2,2,1,0,Քաղաքացիական պաշտպանություն,2016
2,3,0,0,Արտաքին ռազմական օգնություն,2016
2,3,1,0,Արտաքին ռազմական օգնություն,2016
2,3,1,1,Երեւանում ՆԱՏՕ-ի հասարակական տեղեկատվական կենտրոնի ապահովում,2016
2,3,1,2,ՆԱՏՕ-ում Հայաստանի Հանրապետության առաքելությունում պաշտպանության հարցերով պետական խորհրդականի պահպանում,2016
2,3,1,3,ՆԱՏՕ-ում (ռազմավարական հրամանատարությունների) ռազմական համագործակցության վարչությունում Հայաստանի Հանրապետության  փոխգործակցության սպայի պահպանում,2016
2,3,1,4,ՆԱՏՕ-ում Հայաստանի Հանրապետության առաքելությունում Հայաստանի Հանրապետության ռազմական ներկայացուցչի պահպանում,2016
2,4,0,0,Հետազոտական եւ նախագծային աշխատանքներ պաշտպանության ոլորտում,2016
2,4,1,0,Հետազոտական եւ նախագծային աշխատանքներ պաշտպանության ոլորտում,2016
2,4,1,1,«Գիտական եւ գիտատեխնիկական նպատակային-ծրագրային հետազոտություններ» ծրագրի շրջանակներում կատարվող Հատուկ գիտահետազոտական եւ փորձակոնստրուկտորական աշխատանքներ,2016
2,5,0,0,Պաշտպանություն (այլ դասերին չպատկանող),2016
2,5,1,0,Պաշտպանություն (այլ դասերին չպատկանող),2016
2,5,1,1,Պաշտպանության բնագավառի այլ ծախսեր,2016
2,5,1,2,Այլընտրանքային ծառայության ապահովում,2016
2,5,1,3,Զորակոչիկներին վարորդական իրավունքի վկայականների տրման եւ քննությունների ընդունման ծախսեր,2016
2,5,1,4,Հումանիտար ականազերծման եւ փորձագիտական ծառայությունների կազմակերպում,2016
2,5,1,5,Այլ ծախսեր,2016
3,0,0,0,"ՀԱՍԱՐԱԿԱԿԱՆ ԿԱՐԳ,  ԱՆՎՏԱՆԳՈՒԹՅՈՒՆ ԵՎ ԴԱՏԱԿԱՆ ԳՈՐԾՈՒՆԵՈՒԹՅՈՒՆ",2016
3,1,0,0,Հասարակական կարգ եւ անվտանգություն,2016
3,1,1,0,Ոստիկանություն,2016
3,1,1,1,Հասարակական կարգի պահպանության ապահովում,2016
3,1,1,2,Պետավտոհամարանիշների ձեռքբերում,2016
3,1,1,3,"ՀՀ պետական կառավարման մարմինների եւ կազմակերպությունների շենքերի եւ շինությունների, ինչպես նաեւ կարեւորագույն նշանակության օբյեկտների պահպանություն",2016
3,1,1,4,"ՀՀ ՊՆ, ՀՀ ԿԱ ԱԱԾ կրտսեր, միջին, ավագ եւ ՀՀ ոստիկանության միջին, ավագ, գլխավոր սպայական անձնակազմին` կենցաղային տեխնիկայի ձեռքբերմանն աջակցելու նպատակով տրամադրվող սպառողական վարկերի  տոկոսագումարները 2 կամ 3 տոկոսային կետով համաֆինանսավորման ծրագիր",2016
3,1,1,5,ՀՀ կառավարությանն առընթեր ՀՀ ոստիկանության ստորոբաժանումների կողմից ՀՀ անունից պայմանագրային հիմունքներով պահպանության եւ անվտանգության գծով իրականացվող ծառայությունների մատուցում,2016
3,1,1,6,"ՀՀ կառավարությանն առընթեր ՀՀ ոստիկանության ճանապարհային ոստիկանության կողմից արձանագրված խախտումների համար վարչական տուգանքների գանձումներից, գրանցման-քննական ծառայությունների դիմաց վճարումներ եւ այլ վճարովի ծառայություններ",2016
3,1,1,7,«Քաղաքացիների բժշկական օգնության եւ սպասարկման վճարովի ծառայության մատուցում»,2016
3,1,1,8,ՀՀ քաղաքացու անձնագիր տալու կամ փոխանակելու վճարովի ծառայություն,2016
3,1,1,40,ՀՀ  անձնագրերի բլանկների տպագրություն,2016
3,1,2,0,Ազգային անվտանգություն,2016
3,1,2,1,Ազգային անվտանգության ապահովում,2016
3,1,2,2,ՀՀ ազգային անվտանգության խորհրդի աշխատակազմի պահպանում,2016
3,1,2,4,ՀՀ կառավարական կապի անվտանգության ապահովում,2016
3,1,3,0,Պետական պահպանություն,2016
3,1,3,1,Պետական պահպանության ապահովում,2016
3,2,0,0,Փրկարար  ծառայություն,2016
3,2,1,0,Փրկարար ծառայություն,2016
3,2,1,1,Նախարարության «Ծրագրերի իրականացման գրասենյակ» պետական հիմնարկի պահպանում,2016
3,2,1,2,Փրկարար ծառայության համակարգի ստորաբաժանումների պահպանում,2016
3,3,0,0,Դատական գործունեություն եւ իրավական պաշտպանություն,2016
3,3,1,0,Դատարաններ,2016
3,3,1,1,ՀՀ սահմանադրական դատարանի պահպանում,2016
3,3,1,2,Դատական ակտերի հարկադիր կատարումն ապահովող ծառայության պահպանում,2016
3,3,1,3,Վարչական օբյեկտների հիմնանորոգում,2016
3,3,1,4,ՀՀ սահմանադրական դատարանի պահուստային ֆոնդ,2016
3,3,1,5,ՀՀ դատարանների պահուստային ֆոնդ,2016
3,3,1,6,ՀՀ սահմանադրական դատարանի կարողությունների զարգացում,2016
3,3,1,7,ՀՀ դատարանների պահպանում,2016
3,3,1,8,ՀՀ դատարանների կարողությունների զարգացում,2016
3,3,1,9,Համաշխարհային բանկի աջակցությամբ իրականացվող Փաստաբանական դպրոցի վերապատրաստման կարողությունների զարգացման դրամաշնորհային ծրագիր,2016
3,3,1,40,Համաշխարհային բանկի աջակցությամբ  իրականացվող Դատաիրավական բարեփոխումների երկրորդ ծրագրի լրացուցիչ ֆինանսավորման ծրագիր,2016
3,3,2,0,Իրավական պաշտպանություն,2016
3,3,2,1,ՀՀ մարդու իրավունքների պաշտպանի աշխատակազմի պահպանման ծախսեր,2016
3,3,2,2,Հանրային պաշտպանի գրասենյակի պահպանում,2016
3,3,2,3,ՀՀ մարդու իրավունքների պաշտպանի աշխատակազմի կարողությունների զարգացում,2016
3,3,2,4,"Դատավարություններին ընդգրկված թարգմանիչների, փորձագետների եւ վկաների վարձատրություն",2016
3,3,2,5,Անվճարունակության գործերով կառավարիչներին իրենց մատուցած ծառայությունների դիմաց փոխհատուցում,2016
3,3,2,6,Մարդու իրավունքների պաշտպանին միջազգային եւ դոնոր կազմակերպությունների կողմից հատկացվող ֆինանսական աջակցություն,2016
3,4,0,0,Դատախազություն,2016
3,4,1,0,Դատախազություն,2016
3,4,1,1,ՀՀ դատախազության պահպանում,2016
